ENVIRONMENT,NAME,PARENT,CHILD,WHERECLAUSE,CARDINALITY,DBJOINREQUIRED,REMARKS,MAXRELATIONSHIPID
HTQ,PLUSGLOCKBOXSTATUS,PLUSGMASTERLOCKBOX,PLUSGLOCKBOXSTATUS,locknum = :locknum and siteid =:siteid and orgid =:orgid,-,-,Relationship to find all incident event status.,100445
HTQ,BOOKMARK,PLUSGMASTERLOCKBOX,BOOKMARK,app = 'PLUSGMASTERLOCKBOX' and keyvalue = :plusgmasterlockboxid,-,-,Relationship to the bookmark records,used to find the bookmark records for a given lock boxs.
HTQ,PLUSGLOCATIONS,PLUSGMASTERLOCKBOX,LOCATIONS,locationsid = :locationsid,-,-,Relationship to retrieve this location's information.,100447
HTQ,PLUSGMASTERLOCKBOX,LOCATIONS,PLUSGMASTERLOCKBOX,locationsid = :locationsid,-,-,Relationship to retrieve this location's information.,100448
HTQ,PLUSGLOCKBOXCHSTATUS,PLUSGMASTERLOCKBOX,PLUSGLOCKBOXCHSTATUS,-,-,-,Relationship to the non-persistent PlusGLogBookChStatus mbo. The resulting set will contain zero or more objects,100449
HTQ,PLUSGMASTERLOCKBOX,PERSON,PLUSGMASTERLOCKBOX,owner = :personid,-,-,Relationship to retrieve this lock box information.,100450
HTQ,PLUSGMASTERLOCKBOX,PERSONGROUP,PLUSGMASTERLOCKBOX,ownergroup = :persongroup,-,-,Relationship to retrieve lock box information.,100451
HTQ,PLUSGLOCKDETAILINUSE,PLUSGLOCKDETAIL,PLUSGLOCKDETAILINUSE,locknum = :locknum and refernum=:refernum and siteid=:siteid and orgid=:orgid,-,-,Relationship to retrieve detail usage history.,100452
HTQ,PLUSGPERMITWORK,PLUSGLOCKDETAILINUSE,PLUSGPERMITWORK,plusgpermitworkid = :plusgpermitworkid,-,-,Relationship to permit work information.,100453
HTQ,PLUSGLOCKINUSE,PLUSGMASTERLOCKBOX,PLUSGLOCKDETAILINUSE,locknum = :locknum and (refernum='' or refernum is null) and siteid=:siteid and orgid=:orgid,-,-,Relationship to retrieve lock box usage history.,100454
HTQ,DOCLINKS,PLUSGMASTERLOCKBOX,DOCLINKS,ownertable = 'PLUSGMASTERLOCKBOX' and ownerid = :plusgmasterlockboxid,-,-,Relationship to the Doclinks table. The resultset will contain zero or more objects.,100455
HTQ,PLUSGLOCKHASUSEHIS,PLUSGMASTERLOCKBOX,PLUSGLOCKDETAILINUSE,locknum = :locknum and siteid=:siteid and orgid=:orgid,-,-,Relationship to retrieve lock box usage history.,100456
HTQ,PLUSGPERSONS,PLUSGMASTERLOCKBOX,PERSONGROUPVIEW,1=1,-,-,Retrieves all persons on PERSONGROUPVIEW.,100457
HTQ,PLUSGOWNERHISTORY,PLUSGMASTERLOCKBOX,PLUSGOWNERHISTORY,recordid = :plusgmasterlockboxid and class = 'MASTERLOCKBOX',-,-,Retrieves all Owner History.,100458
HTQ,PLUSGVIEWBYLOC,PLUSGMASTERLOCKBOX,PLUSGVIEWBYLOC,-,-,-,for View Locks Availability by Location dialog,100459
HTQ,PLUSGMASTERLOCKBOX,PLUSGVIEWBYLOC,PLUSGMASTERLOCKBOX,location = :location and siteid =:siteid and orgid =:orgid,-,-,for View Locks Availability by Location dialog,100460
HTQ,PLUSGLOCATIONS,PLUSGVIEWBYLOC,LOCATIONS,locationsid = :locationsid,-,-,Relationship to retrieve this location's information.,100461
HTQ,PLUSGMASTERLOCKBOX,PLUSGPERMITWORK,PLUSGMASTERLOCKBOX,locknum=:masterlockbox and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGMASTERLOCKBOX,100462
HTQ,PLUSGPERMITWORK,PLUSGMASTERLOCKBOX,PLUSGPERMITWORK,masterlockbox=:locknum and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGPERMITWORK,100463
HTQ,PLUSGLOCKDETAIL,PLUSGPERMITWORK,PLUSGLOCKDETAIL,locknum=:masterlockbox and refernum=:masterlockboxkey and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGLOCKDETAIL,100464
HTQ,PLUSGMASTERLOCKBOX,PLUSGPTWLCKTGOP,PLUSGMASTERLOCKBOX,locknum=:locknumber or locknum=:addlocknumber,-,-,Relationship for PLUSGMASTERLOCKBOX,100465
HTQ,PLUSGLOCKDETAIL,PLUSGPTWLCKTGOP,PLUSGLOCKDETAIL,locknum=:locknumber and refernum=:addlocknumber,-,-,Relationship for PLUSGLOCKDETAIL,100466
HTQ,PLUSGPERMITWORK,PLUSGPTWLCKTGOP,PLUSGPERMITWORK,plusgpermitworkid=:plusgpermitworkid,-,-,Relationship for PLUSGPERMITWORK,100467
HTQ,PLUSGPTWLCKTGOP,PLUSGMASTERLOCKBOX,PLUSGPTWLCKTGOP,locknumber=:locknum or addlocknumber=:locknum,-,-,Relationship for PLUSGPTWLCKTGOP,100468
HTQ,PLUSGPERMITWORK,PLUSGLOCKDETAIL,PLUSGPERMITWORK,masterlockbox=:locknum and masterlockboxkey=:refernum and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGPERMITWORK,100469
HTQ,PLUSGMASTERLOCKBOX,PLUSGRELATEDREC,PLUSGMASTERLOCKBOX,locknum=:relmasterlockbox and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGMASTERLOCKBOX,100470
HTQ,PLUSGLOCKDETAIL,PLUSGRELATEDREC,PLUSGLOCKDETAIL,locknum=:relmasterlockbox and refernum=:relmastersecondkey and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGLOCKDETAIL,100471
HTQ,PLUSGRELATEDREC,PLUSGLOCKDETAIL,PLUSGRELATEDREC,relmasterlockbox=:locknum and relmastersecondkey=:refernum and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGLOCKDETAIL,100472
HTQ,PLUSGRELATEDREC,PLUSGMASTERLOCKBOX,PLUSGRELATEDREC,relmasterlockbox=:locknum and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGLOCKDETAIL,100473
HTQ,PLUSGMASTERLOCKBOX,PLUSGISOLATION,PLUSGMASTERLOCKBOX,locknum=:masterlockbox and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGMASTERLOCKBOX,100474
HTQ,PLUSGLOCKDETAIL,PLUSGISOLATION,PLUSGLOCKDETAIL,locknum=:masterlockbox and refernum=:masterlockboxkey and siteid=:siteid and orgid=:orgid,-,-,Relationship for PLUSGLOCKDETAIL,100475
HTQ,PLUSGTRAININGSTATUS,PLUSGTRAINING,PLUSGTRAININGSTATUS,trainingnum = :trainingnum and revisionnum=:revisionnum,-,-,Relationship to find all incident event status.,100476
HTQ,BOOKMARK,PLUSGTRAINING,BOOKMARK,app = 'PLUSGTRAINING' and keyvalue = :plusgtrainingid,-,-,Relationship to the bookmark records,used to find the bookmark records for a given lock boxs.
HTQ,PLUSGTRAININGCHSTATUS,PLUSGTRAINING,PLUSGTRAININGCHSTATUS,-,-,-,Relationship to the non-persistent PlusGLogBookChStatus mbo. The resulting set will contain zero or more objects,100478
HTQ,PLUSGTRAINING,PERSON,PLUSGTRAINING,owner = :personid,-,-,Relationship to retrieve this lock box information.,100479
HTQ,PLUSGTRAINING,PERSONGROUP,PLUSGTRAINING,ownergroup = :persongroup,-,-,Relationship to retrieve lock box information.,100480
HTQ,DOCLINKS,PLUSGTRAINING,DOCLINKS,ownertable = 'PLUSGTRAINING' and ownerid = :plusgtrainingid,-,-,Relationship to the Doclinks table. The resultset will contain zero or more objects.,100481
HTQ,PLUSGPERSONS,PLUSGTRAINING,PERSONGROUPVIEW,1=1,-,-,Retrieves all persons on PERSONGROUPVIEW.,100482
HTQ,PLUSGOWNERHISTORY,PLUSGTRAINING,PLUSGOWNERHISTORY,recordid = :plusgtrainingid and class = 'PLUSGTRAINING',-,-,Retrieves all Owner History.,100483
HTQ,WFTRANSACTION,PLUSGDRL,WFTRANSACTION,ownertable = 'PLUSGDRL' and ownerid = :workorderid,-,0,Relationship to workflow transactions. (ownertable = 'PLUSGDRL' and ownerid = :workorderid). Zero to many member set.,99903
HTQ,EXTDRILLDOWN,PURCHVIEW,EXTDRILLDOWN,-,-,-,Relationship from the PURCHVIEW to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100166
HTQ,EXTDRILLDOWN,WARRANTYASSET,EXTDRILLDOWN,-,-,-,Relationship to the drill down non-persistent object,100167
HTQ,EXTDRILLDOWN,PERSON,EXTDRILLDOWN,-,-,-,Relationship from PERSON to the non-persistent DrillDown table. (No whereclause.)  The resulting set will contain zero objects.  This relationship is used when the DrillDown page is launched from a location field.,100168
HTQ,EXTDRILLDOWN,CONTRACTASSET,EXTDRILLDOWN,-,-,-,Relationship to the drill down non-persistent object,100169
HTQ,EXTDRILLDOWN,SKDACTIVITYQBE,EXTDRILLDOWN,-,-,-,Relationship from the skdactivityqbe to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100170
HTQ,EXTDRILLDOWN,PLUSCDSASSETLINK,EXTDRILLDOWN,-,-,-,Relationship from the PLUSCDSASSETLINK to the non-persistent DrillDown table. (No where clause). Used on the Work Asset tab from Data Sheets,100171
HTQ,EXTDRILLDOWN,PLUSCSPOTCHECK,EXTDRILLDOWN,-,-,-,-,100172
HTQ,EXTDRILLDOWN,COLLECTION,EXTDRILLDOWN,-,-,-,Relationship from the COLLECTION to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100173
HTQ,EXTDRILLDOWN,WOLINEARSEARCH,EXTDRILLDOWN,-,-,-,Relationship from the WOLINEARSEARCH to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100174
HTQ,EXTDRILLDOWN,MAXUSER,EXTDRILLDOWN,-,-,-,Relationship from the MAXUSER to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a Location or Asset field.,100175
HTQ,EXTDRILLDOWN,GENERATEWO,EXTDRILLDOWN,-,-,-,Relationship from the GENERATEWO to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a Location or Asset field.,100176
HTQ,EXTDRILLDOWN,PMWORKGENERATION,EXTDRILLDOWN,-,-,-,Relationship from the PMWORKGENERATION to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a Location or Asset field.,100177
HTQ,EXTDRILLDOWN,COLLECTDETAILS,EXTDRILLDOWN,-,-,-,Relationship from the CollectDetails to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a CollectDetails - asset or location field.,100178
HTQ,EXTDRILLDOWN,WMASSIGNMENT,EXTDRILLDOWN,-,-,-,Relationship to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100179
HTQ,EXTDRILLDOWN,ISSUEITEMTOASSET,EXTDRILLDOWN,-,-,-,Relationship from the ISSUEITEMTOASSET to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100180
HTQ,EXTDRILLDOWN,MULTIASSETLOCCI,EXTDRILLDOWN,-,-,-,Relationship from the MULTIASSETLOCCI to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100181
HTQ,EXTDRILLDOWN,CI,EXTDRILLDOWN,-,-,-,Relationship from the CI to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a CI field.,100182
HTQ,EXTDRILLDOWN,SFWVIEW,EXTDRILLDOWN,-,-,-,Relationship from the SFWVIEW to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100183
HTQ,EXTDRILLDOWN,TLOAMPROMOTE,EXTDRILLDOWN,-,-,-,Relationship from non-persistent Computer Promotion to Drilldown (no where clause). Returns one record.,100184
HTQ,EXTDRILLDOWN,INVUSELINE,EXTDRILLDOWN,-,-,-,Relationship from the INVUSELINE to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100185
HTQ,EXTDRILLDOWN,TLOAMPRMVALUE,EXTDRILLDOWN,-,-,-,Relationship from non-persistent Computer Promotion Values to Drilldown (no where clause). Returns one record.,100186
HTQ,EXTDRILLDOWN,TLOAMPRMDFLT,EXTDRILLDOWN,-,-,-,Relationship from non-persistent Computer Promotion Defaults to Drilldown (no where clause). Returns one record.,100187
HTQ,EXTDRILLDOWN,INVRESERVE,EXTDRILLDOWN,-,-,-,Relationship from the INVRESERVE to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100188
HTQ,EXTDRILLDOWN,CREATERELINPUT,EXTDRILLDOWN,-,-,-,Relationship from the CREATERELINPUT to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100189
HTQ,ITEM,EXTDRILLDOWN,ITEM,(:objectname = 'ITEM' and itemid = :objectvalue) or (:objectname = 'SPAREPART' and exists (select * from sparepart where sparepartid = :objectvalue and itemnum = item.itemnum and sparepart.itemsetid = item.itemsetid) ),-,-,-,100190
HTQ,CI,EXTDRILLDOWN,CI,:objectname = 'CI' AND ciid = :objectvalue,-,-,-,100191
HTQ,TOPASSET,LOCATIONS,ASSET,location=:location and siteid = :siteid and parent is null and status in (:&synonymlist&_locassetstatus[NOT READY,OPERATING]),-,-,-
HTQ,EXTDRILLDOWN,INVUSE,EXTDRILLDOWN,-,-,-,Relationship from the INVUSE to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100193
HTQ,DRILLDOWN,INVUSE,DRILLDOWN,-,-,-,Relationship from the INVUSE to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field.,100194
HTQ,OOG_PERSON_LOG,PLUSGPERMITWORK,PERSON,personid=:&PERSONID&,-,-,Recupera personid,99857
HTQ,OOG_PERSONGROUPTEAMRSTC,MAXUSER,PERSONGROUPTEAM,persongroup = 'RSTC' and useforsite = :defsite,-,-,Relationship with persongroup RSTC to bring all people from the same site as defsite of maxuser,99860
HTQ,OOG_RELEASER,PLUSGPERMITWORK,PERSONGROUPTEAM,COALESCE(:OWNERGROUP,'*') = PERSONGROUP AND  USEFORSITE = :SITEID,-,-,Relation between permittowork and persongroupteam
HTQ,PERSONS_PLUSGTECHAUTHORITY,PERSONGROUPTEAM,PERSON,personid=:respparty and plusgtechauthority = 1,-,-,Relation between persongroupteam and person,99862
HTQ,OOG_RELEASER_THIRD,PLUSGPERMITWORK,PERSON,COALESCE(personid,'*') = COALESCE(:owner,'*'),-,-
HTQ,OOG_PLUSGPERSON,PLUSGPERWORKWRKPT,PERSON,personid = :oog_person,-,-,Relationship with person to show person's display name,99864
HTQ,OOG_PERMITAREA,PLUSGPERMITWORK,PERSON,personuid in (select personuid from plusgpersonareas where value = :oog_ptwarea and personid in (select personid from maxuser where defsite = (select defsite from maxuser where userid = :&USERNAME&))),-,-,Recover people registered in the People areas table in the People (oil) register,according to the area selected in the Permit to Work.
HTQ,OOG_WORKTYPE,PLUSGPERMITWORK,OOG_WORKTYPE,oog_valor = :ACTIVITYCATEGORY,-,-,Show the ptw worktype description,99866
HTQ,OOG_OIMCAPTAIN,PLUSGPERMITWORK,PERSONGROUPTEAM,persongroup = 'OOG_OIMP' and useforsite = :siteid,-,-,Relationship with persongroup OOG_OIMP,99867
HTQ,PERSONS_OIMCAPTAIN,PERSONGROUPTEAM,PERSON,personid=:respparty and PLUSGPERISSUEAUTH = 1,-,-,Relationship with PERSON to bring Safety Technician,99868
HTQ,OOG_PTWADMIN,PLUSGPERMITWORK,PERSONGROUPTEAM,PERSONGROUP = 'OOG_PTWA' AND  USEFORSITE = :SITEID,-,-,Relation between permittowork and persongroupteam to bring all PTW Administrator for the PT Site,99869
HTQ,PERSON_PLUSGPERPERFAUTH,PERSONGROUPTEAM,PERSON,personid=:respparty and PLUSGPERPERFAUTH = 1,-,-,Relation between persongroupteam and person to bring the Authorized Performing Authority,99870
HTQ,OOG_SAFETYTECH,PLUSGPERMITWORK,PERSONGROUPTEAM,persongroup = 'OOG_HSE' and useforsite = :siteid,-,-,Relationship with persongroup OOG_HSE,99871
HTQ,PERSONS_SAFETYTECH,PERSONGROUPTEAM,PERSON,personid=:respparty and PLUSGPTWREVAPP = 1,-,-,Relationship with PERSON to bring Safety Technician,99872
HTQ,ASSET,PLUSGPERWORKGASTEST,ASSET,:OOG_GASTESTNUM = ASSETNUM AND SITEID = (SELECT SITEID FROM PLUSGPERMITWORK WHERE PLUSGPERMITWORKID = :PLUSGPERMITWORKID),-,-,Relationship to a PLUSGPERWORKGASTEST and ASSET.,99873
HTQ,OXYGENMEASUREUNIT,PLUSGPERWORKGASTEST,MEASUREUNIT,MEASUREUNITUID= :OXYGENMEASUNITID,-,-,Relationship to measure unit table to get the merasure unit,99874
HTQ,HYDROCARBONUNIT,PLUSGPERWORKGASTEST,MEASUREUNIT,MEASUREUNITUID= :HYDROCARBONSMEASUNITID,-,-,Relationship to measure unit table to get the merasure unit,99875
HTQ,HYDROGENMEASUREUNIT,PLUSGPERWORKGASTEST,MEASUREUNIT,MEASUREUNITUID= :HYDROGENSULFIDEMEASUNITID,-,-,Relationship to measure unit table to get the merasure unit,99876
HTQ,AMMONIAMEASUNIT,PLUSGPERWORKGASTEST,MEASUREUNIT,MEASUREUNITUID= :AMMONIAMEASUNITID,-,-,Relationship to measure unit table to get the merasure unit,99877
HTQ,MISCMEASUNIT,PLUSGPERWORKGASTEST,MEASUREUNIT,MEASUREUNITUID = :MISCMEASUNITID,-,-,Relationship to measure unit table to get the merasure unit,99878
HTQ,PLUSGPERTYPEID,PLUSGWOPERTYPE,PLUSGPERTYPE,:PERTYPENUM=PERTYPENUM,-,-,Relation to get PLUSGPERTYPEID,99884
HTQ,OOG_SYNONYMDOMAIN_APPR,WORKORDER,SYNONYMDOMAIN,domainid='WOSTATUS' and MAXVALUE = 'APPR',-,-,Relationship to get only appr status,99885
HTQ,PLUSGRCALEAD,PERSON,PROBLEM,plusgrcalead=:personid or plusgrcaappby=:personid,-,-,Relationship to the INVESTIGATION table. The resultset will contain zero or more objects.,100563
HTQ,IMGLIB,PLUSGSTRUCTUREDRCA,IMGLIB,refobject='PLUSGSTRUCTUREDRCA' and refobjectid=:plusgstructuredrcaid,-,-,Relationship to ITEMIMAGE,100564
HTQ,IMGLIB,PLUSGSTRUCRCARESULT,IMGLIB,refobject='PLUSGSTRUCRCARESULT' and refobjectid=:plusgstrucrcaresultid,-,-,Relationship to ITEMIMAGE,100565
HTQ,PLUSGSTRUCRCAVALUE,PLUSGSTRUCRCAVALUE,PLUSGSTRUCRCAVALUE,1=1,-,-,Relationship from parent PLUSGSTRUCRCAVALUE to child PLUSGSTRUCRCAVALUE.,100566
HTQ,PLUSGPERSONCOURSE,PERSON,PLUSGPERSONCOURSE,personid = :personid,-,-,Relationship to find all person course.,100567
HTQ,DOCLINKS,PLUSGPERSONCOURSE,DOCLINKS,ownertable = 'PLUSGPERSONCOURSE' and ownerid = :plusgpersoncourseid,-,-,Relationship to the Doclinks table. The resultset will contain zero or more objects.,100568
HTQ,PLUSGPERCOURCHSTATUS,PLUSGPERSONCOURSE,PLUSGPERCOURCHSTATUS,-,-,-,Relationship to the non-persistent PLUSGPERCOURCHSTATUS mbo. The resulting set will contain zero or more objects,100569
HTQ,PLUSGPERCOURSESTATUS,PLUSGPERSONCOURSE,PLUSGPERCOURSESTATUS,trainingnum = :trainingnum and personid = :personid,-,-,Relationship to find all person course status.,100570
HTQ,PLUSGTRAINING,PLUSGPERSONCOURSE,PLUSGTRAINING,plusgtrainingid = :plusgtrainingid,-,-,Relationship to find all course.,100571
HTQ,PLUSGPERSONCOURSE,PLUSGTRAINING,PLUSGPERSONCOURSE,plusgtrainingid = :plusgtrainingid,-,-,Relationship to find all person course.,100572
HTQ,PLUSGPERTYPECOURSE,PLUSGPERTYPE,PLUSGPERTYPECOURSE,pertypenum = :pertypenum and ((orgid=:orgid and siteid=:siteid) or (orgid=:orgid and siteid is null) or (orgid is null and siteid is null)),-,-,Relationship to find all permit and Certificate Type course.,100573
HTQ,PLUSGTRAINING,PLUSGPERTYPECOURSE,PLUSGTRAINING,plusgtrainingid = :plusgtrainingid,-,-,Relationship to find all course.,100574
HTQ,PLUSGTRAINSESSION,PLUSGPERTYPECOURSE,PLUSGTRAINSESSION,plusgtrainsessionid = :plusgtrainsessionid,-,-,Relationship to find all session.,100575
HTQ,PLUSGPERTYPECOURSE,PLUSGTRAINING,PLUSGPERTYPECOURSE,plusgtrainingid = :plusgtrainingid,-,-,Relationship to find all permit and Certificate Type course.,100576
HTQ,PLUSGCONSQREVHIS,PLUSGCONSQ,PLUSGCONSQ,consqnum=:consqnum and ((orgid=:orgid and siteid=:siteid) or (orgid=:orgid and siteid is null) or (orgid is null and siteid is null)),-,-,Relationship for view revision history,100577
HTQ,PLUSGCONSQREVISIONINPUT,PLUSGCONSQ,PLUSGCONSQREVISIONINPUT,-,-,-,Relationship for revise consequence dialog,100578
HTQ,PLUSGMOCCOURSE,PLUSGMOC,PLUSGMOCCOURSE,wonum = :wonum and orgid=:orgid and siteid=:siteid,-,-,Relationship to find all permit and Certificate Type course.,100579
HTQ,PLUSGMOCCOURSEPER,PLUSGMOC,PLUSGMOCCOSPER,wonum = :wonum and orgid=:orgid and siteid=:siteid,-,-,Relationship to find all permit and Certificate Type course.,100580
HTQ,PLUSGMOCCOSPER,PLUSGMOCCOURSE,PLUSGMOCCOSPER,wonum = :wonum and trainingnum=:trainingnum and orgid=:orgid and siteid=:siteid,-,-,Relationship to find all course.,100581
HTQ,PLUSGTRAINING,PLUSGMOCCOURSE,PLUSGTRAINING,plusgtrainingid = :plusgtrainingid,-,-,Relationship to find all course.,100582
HTQ,TEMPMEASUREUNIT,PLUSGPERWORKGASTEST,MEASUREUNIT,MEASUREUNITUID = :TEMPMEASUREUNITID,-,-,Relationship to measure unit table to get the merasure unit,99858
HTQ,DOCLINKS,JOBPLAN,DOCLINKS,doclinksid in (select doclinksid from doclinks where (ownertable='JOBPLAN' and ownerid=:jobplanid) UNION ALL select doclinksid from doclinks where (ownertable='ASSET' and ownerid in (select a.assetuid from asset a,jpassetsplink b where a.assetnum=b.assetnum and a.siteid=b.siteid and b.jobplanid=:jobplanid)) UNION ALL select doclinksid from doclinks where (ownertable='ITEM' and ownerid in (select c.itemid from item c,jpassetsplink d where c.itemnum=d.itemnum and c.itemsetid=d.itemsetid and d.jobplanid=:jobplanid)) UNION ALL select doclinksid from doclinks where (ownertable='LOCATIONS' and ownerid in (select e.locationsid from locations e,jpassetsplink f where e.location=f.location and e.siteid=f.siteid and f.jobplanid=:jobplanid)) UNION ALL select doclinksid from doclinks where (ownertable='SAFETYPLAN' and ownerid in (select g.safetyplanuid from safetyplan g,jpassetsplink h where g.safetyplanid=h.safetyplanid and g.siteid=h.siteid and h.jobplanid=:jobplanid)) UNION ALL select doclinksid from doclinks where (ownertable='HAZARD' and ownerid in (select i.hazarduid from hazard i
HTQ,DATESELECTOR,SKDPROJECTBASELINE,DATESELECTOR,pattern = :schedule,-,-,Date selector pattern for Optimization Cron Task,100714
HTQ,LVCSYMBOLOGY,ORGANIZATION,LVCSYMBOLOGY,orgid=:orgid,-,-,Relationship to Linear Visual Control Configuration,100715
HTQ,COMMLOGRPT,WORKORDER,COMMLOG,exists (select 1 from workorder where workorderid = commlog.ownerid and workorder.wogroup = :wogroup and workorder.siteid = :siteid ) and ((CommLog.OwnerTable in (select value from synonymdomain where domainid='WOCLASS' and maxvalue in ('WORKORDER','ACTIVITY','CHANGE','RELEASE'))) or  CommLog.OwnerTable in ( 'WORKORDER','WOACTIVITY'
HTQ,PROJECTS,BIMATTRIBUTEMAP,BIMPROJECT,BIMPROJECTID in ( select BIMPROJECTID from BIMATTRIBUTEMAPLIST where mapname = :mapname),-,-,All attribute maps lists associated with a project,100718
HTQ,PROJECTS,BIMTYPEMAP,BIMPROJECT,BIMPROJECTID in ( select BIMPROJECTID from BIMTYPEMAPLIST where mapname = :mapname),-,-,All attribute maps lists associated with a project,100719
HTQ,MVIMODEL_INFERENCE,INSPECTIONMVIMODEL,INSPECTIONIMAGEINFERENCE,owner = 'INSPECTIONMVIMODEL' and ownerid = :mvimodelid,-,-,mvimodel related inference.,100720
HTQ,SKDCOMPLIANCEWOLISTADT,SKDCOMPLIANCE,SKDCOMPLIANCEWOLIST,skdprojectid=:skdprojectid and skdcomplianceid=:skdcomplianceid,-,-,Returns SKDCOMPLIANCEWOLIST records for a given SKDCOMPLIANCE.,100731
HTQ,ALLMULTIASSETLOCCI,WOACTIVITY,MULTIASSETLOCCI,recordkey=:wonum and recordclass=:woclass and worksiteid=:siteid,-,-,all asset/loc/CI  records for the woactivity,100723
HTQ,MVIMODEL_INFERENCE,MVIMODEL,IMAGEINFERENCE,owner = 'MVIMODEL' and ownerid = :mvimodelid,-,-,mvimodel related inference.,100724
HTQ,DOCLINK_INFERENCE,DOCLINKS,IMAGEINFERENCE,docinfoid = :docinfoid,-,-,doclinks related inference.,100725
HTQ,ANOMALY_IMAGEINFERENCEID,IMAGEINFERENCE,ANOMALY,imageinferenceid = :imageinferenceid,-,-,An ANOMALY belongs to IMAGEINFERENCE.,100726
HTQ,ANOMALYCATALOGID,ANOMALYCATALOG,ANOMALY,ANOMALYCATALOGID = :ANOMALYCATALOGID,-,-,An anomaly catalog has zero or many anomalies,100727
HTQ,DOCLINKS_ANOMALY,DOCLINKS,ANOMALY,imageinferenceid in (select imageinferenceid from imageinference where docinfoid = :docinfoid) and ownerid = :ownerid and ownertable = :ownertable,-,-,Anomalies belonging to a doclink.,100728
HTQ,IMAGEINFERENCE,INSPFIELDRESULT,IMAGEINFERENCE,docinfoid in (select d.docinfoid   from doclinks d  where  ownerid=:inspfieldresultid and ownertable='INSPFIELDRESULT'),-,-,Image inference.,100729
HTQ,ANOMALYCATALOG,NPMVIMODELS,ANOMALYCATALOG,modeltype=:modelid,-,-,Image inference.,100730
HTQ,WORKORDER,SKDWOBREAKINOUT,WORKORDER,workorderid=:workorderid,-,-,Returns WO record for a given SKDWOBREAKINOUT.,100732
HTQ,SKDWOBREAKINOUT,SKDCOMPLIANCE,SKDWOBREAKINOUT,skdcomplianceid=:skdcomplianceid,-,-,Returns SKDWOBREAKINOUT records for a given SKDCOMPLIANCE.,100733
HTQ,UXWORKLOG,SR,WORKLOG,clientviewable=1 and class in (select value from synonymdomain where domainid ='TKCLASS' and maxvalue='SR') and recordkey=:ticketid and (description is not null or hasld = 1) and logtype != 'APPNOTE',-,-,Relationship between the SR and WORKLOG.,100195
HTQ,OOG_WORKLOG,LOCATIONS,WORKLOG,CLASS = 'ASSETLOGBOOK',,,,
HTQ,AND,RECORDKEY,=,:LOCATION,,,,
HTQ,AND,SITEID,=,:SITEID,,,,
HTQ,AND,OOG_STATUS,=,'NEWLOG',,,,
HTQ,AND,CREATEDATE,=,(,,,,
HTQ,SELECT,MIN(CREATEDATE),,,,,,
HTQ,FROM,WORKLOG,,,,,,
HTQ,WHERE,CLASS,=,'ASSETLOGBOOK',,,,
HTQ,AND,RECORDKEY,=,:LOCATION,,,,
HTQ,AND,SITEID,=,:SITEID,,,,
HTQ,AND,OOG_STATUS,=,'NEWLOG',,,,
